TYPE;string;string;float64;float64;string;float64
PC1P;PARTICULATE ORGANIC CARBON/POC;millimole/m3;0;100;%6.3f;1e36
POCP;PARTICULATE ORGANIC CARBON/POC;milligram/m3;0;999;%6.2f;1e36
PN1P;PARTICULATE ORGANIC NITROGEN;millimole/m3;0;2;%6.3f;1e36
PONP;PARTICULATE ORGANIC NITROGEN;milligram/m3;0;100;%6.2f;1e36
SLCP;PARTICULATE ORGANIC SILICA(SI);millimole/m3;0;1;%6.3f;1e36
MPBF;PB FLUX IN SETTLING PARTICLES;microgram/(m2.day);0;200;%6.2f;1e36
PERP;PERIDININE;milligram/m3;0;5;%6.3f;1e36
PHPH;PH;pH unit;7.4;8.4;%5.3f;1e36
PHTF;PHAEOPIGMENTS VERTICAL FLUX;milligram/(m2.day);0;10;%6.3f;1e36
PHEA;PHEOPHYTIN-A;milligram/m3;0;99;%5.2f;1e36
PHEB;PHEOPHYTIN-B;milligram/m3;0;99;%5.2f;1e36
PHEC;PHEOPHYTIN-C;milligram/m3;0;99;%5.2f;1e36
PHOS;PHOSPHATE (PO4-P) CONTENT;millimole/m3;0;4;%6.3f;1e36
PHOW;PHOSPHATE (PO4-P) CONTENT;micromole/kg;0;10;%5.3f;1e36
HEAD;PLATFORM HEADING REL. NORTH;degree;-360;360;%+5.1f;1e36
PSAL;PRACTICAL SALINITY SCALE 1978;P.S.S.78;33;37;%6.3f;1e36
PXAP;PRASINOXANTHINE;milligram/m3;0;5;%6.3f;1e36
PRRT;PRECIPITATION RATE;millimeter/hour;0;900;%7.3f;1e36
PROT;PROTEIN;milligram/m3;0;500;%5.0f;1e36
PTZF;PROTOZOA PPC FLUX;milligram C/(m2.day);0;99.999;%6.3f;1e36
MPBS;Pb IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
REDS;REDOX POTENTIAL;millivolt;-110;200;%+4.0f;1e36
RELH;RELATIVE HUMIDITY;%;0;100;%5.1f;1e36
MRBS;Rb IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MSSP;S IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
SSAL;SALINITY (PRE-1978 DEFN);P.S.U.;0;40;%6.3f;1e36
SACC;SALINITY ACCURACY;.;0;4;%2d;1e36
SAND;SAND IN THE SEDIMENT;%;0;100;%6.2f;1e36
PRES;SEA PRESSURE sea surface=0;decibar=10000 pascals;0;6500;%6.1f;1e36
SCDT;SEA SURF CURRENT DIR. REL T. N;degree;0;360;%5.1f;1e36
SCSP;SEA SURFACE CURRENT SPEED;meter/second;0;10;%5.2f;1e36
SSPS;SEA SURFACE PRACTICAL SALINITY;P.S.S.78;0;40;%6.3f;1e36
SSTP;SEA SURFACE TEMPERATURE;Celsius degree;-1.5;38;%6.3f;1e36
TEMP;SEA TEMPERATURE;Celsius degree;0;30;%6.3f;1e36
TE03;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE04;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE05;SEA TEMPERATURE;Celcius degree;-2;32;%6.3f;1e36
TE07;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE12;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE11;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE10;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE09;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE08;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE06;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
TE06;SEA TEMPERATURE;Celsius degree;-2;32;%6.3f;1e36
SECS;SECONDS WITHIN MINUTE;ss;0;59;%2.2d;1e36
AMIS;SEDIMENT AMINO-ACIDS;microgram/g;0;7000;%4.0f;1e36
SIOS;SEDIMENT BIOGENIC SiO2;%;0;100;%6.2f;1e36
CHTS;SEDIMENT CARBOHYDRATES;microgram/g;0;7000;%4.0f;1e36
CO3S;SEDIMENT CARBONATES;%;0;100;%6.2f;1e36
LIPS;SEDIMENT LIPIDS;microgram/g;0;5000;%4.0f;1e36
PHNS;SEDIMENT PHENOLS;microgram/g;0;200;%5.1f;1e36
TCCS;SEDIMENT TOTAL CARBON;%;0;100;%6.2f;1e36
TNNS;SEDIMENT TOTAL NITROGEN;%;0;100;%6.2f;1e36
TOCS;SEDIMENT TOTAL ORGANIC CARBON;%;0;100;%6.2f;1e36
VTDH;SIGNIFICANT WAVE HEIGHT;meter;0;99.999;%6.3f;1e36
SLCA;SILICATE (SIO4-SI) CONTENT;millimole/m3;0;200;%7.3f;1e36
SLCW;SILICATE (SIO4-SI) CONTENT;micromole/kg;0;195;%5.1f;1e36
SILT;SILT IN THE SEDIMENT;%;0;100;%6.2f;1e36
SVEL;SOUND VELOCITY;meter/second;1350;1600;%7.2f;1e36
SWDR;SWELL DIRECTION  REL TRUE N.;degree;0;360;%5.1f;1e36
SWHT;SWELL HEIGHT;meter;0;30;%5.2f;1e36
MSCS;Sc IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MSIP;Si IN SUSPENDED MATTER;milligram/m3;0;999.999;%7.3f;1e36
MSIS;Si IN THE SEDIMENT;%;0;99;%6.3f;1e36
MSRS;Sr IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
TACC;TEMPERATURE ACCURACY;.;0;4;%2d;1e36
TIME;TIME;days since 1950-01-01T00:00:00Z;0;90000.0;%6.6d;1e36
TCO2;TOTAL CARBON DIOXYD (CO2);mole/m3;0;5000;%8.3f;1e36
TDCW;TOTAL DISSOLVED CARBON;millimole/m3;0;9999;%4.0f;1e36
TDPW;TOTAL DISSOLVED PHOSPHORUS;millimole/m3;0;40;%6.3f;1e36
TICW;TOTAL INORGANIC CARBON;micromole/kg;0;9000;%7.2f;1e36
TSMF;TOTAL MASS FLUX;milligram/(m2.day);0;9999.9;%6.1f;1e36
NTOT;TOTAL NITROGEN (N) CONTENT;millimole/m3;0;90;%5.2f;1e36
TOCW;TOTAL ORGANIC CARBON;millimole/m3;0;999.999;%7.3f;1e36
NOTT;TOTAL ORGANIC NITROGEN (D+P);micromole/kg;0;10;%5.2f;1e36
POTT;TOTAL ORGANIC PHOSPHORUS (D+P);micromole/kg;0;5;%5.2f;1e36
PTNP;TOTAL PARTICULATE NITROGEN;milligram/m3;0;5;%5.2f;1e36
NT1P;TOTAL PARTICULATE NITROGEN;micromole/kg;0;10;%5.2f;1e36
PTPP;TOTAL PARTICULATE PHOSPHORUS;milligram/m3;0;5;%5.2f;1e36
PT1P;TOTAL PARTICULATE PHOSPHORUS;micromole/kg;0;5;%5.2f;1e36
TPHP;TOTAL PHAEOPIGMENTS;milligram/m3;0;100;%6.3f;1e36
PHTP;TOTAL PHEOPHYTINE;milligram/m3;0;99;%5.2f;1e36
TPHS;TOTAL PHOSPHORUS (P) CONTENT;millimole/m3;0;10;%5.2f;1e36
EPMP;TOTAL SUSP. PART. MATTER/ESTER;gram/m3;0;9;%5.3f;1e36
GPMP;TOTAL SUSP. PART. MATTER/GLASS;gram/m3;0;99;%6.3f;1e36
TSMP;TOTAL SUSPENDED MATTER;gram/m3;0;100;%7.3f;1e36
TUR4;TURBIDITY;N.T.U Nephelo Turb. Unit;0;100;%6.2f;1e36
TUR5;TURBIDITY;relative unit;0;10;%7.4f;1e36
